CodArticulo,d_media,d_sigma,StockMes,horizon,seguridad,stock_objetivo,Estado
ME000228143,,0.0,,,,,OK
ME000228144,,0.0,,,,,OK
ME000228145,,0.0,,,,,OK
ME000228147,,0.0,,,,,OK
ME000228148,,0.0,,,,,OK
ME000228149,,0.0,,,,,OK
ME000228150,,0.0,,,,,OK
ME000228151,,0.0,,,,,OK
ME000228152,,0.0,,,,,OK
ME000228153,,0.0,,,,,OK
ME000228154,,0.0,,,,,OK
ME000228155,,0.0,,,,,OK
ME000228157,,0.0,,,,,OK
ME000228158,,0.0,,,,,OK
ME000228159,,0.0,,,,,OK
ME000228160,,0.0,,,,,OK
ME000228161,,0.0,,,,,OK
ME000228163,,0.0,,,,,OK
ME000228165,,0.0,,,,,OK
ME000228166,,0.0,,,,,OK
ME000228167,,0.0,,,,,OK
ME000228168,,0.0,,,,,OK
ME000228169,,0.0,,,,,OK
ME000228170,,0.0,,,,,OK
ME000228172,,0.0,,,,,OK
ME000228174,,0.0,,,,,OK
ME000228175,,0.0,,,,,OK
ME000228176,,0.0,,,,,OK
ME000228177,,0.0,,,,,OK
ME000228178,,0.0,,,,,OK
ME000228180,,0.0,,,,,OK
ME000228181,,0.0,,,,,OK
ME000228182,,0.0,,,,,OK
ME000228183,,0.0,,,,,OK
ME000228186,,0.0,,,,,OK
ME000228188,,0.0,,,,,OK
ME000228189,,0.0,,,,,OK
ME000228190,,0.0,,,,,OK
ME000228192,,0.0,,,,,OK
ME000228194,,0.0,,,,,OK
ME000228197,,0.0,,,,,OK
ME000228198,,0.0,,,,,OK
ME000228199,,0.0,,,,,OK
ME000228201,,0.0,,,,,OK
ME000228202,,0.0,,,,,OK
ME000228205,,0.0,,,,,OK
ME000228206,,0.0,,,,,OK
ME000228207,,0.0,,,,,OK
ME000228211,,0.0,,,,,OK
ME000228213,,0.0,,,,,OK
ME000228214,,0.0,,,,,OK
ME000228216,,0.0,,,,,OK
ME000228217,,0.0,,,,,OK
ME000228218,,0.0,,,,,OK
ME000228219,,0.0,,,,,OK
ME000228220,,0.0,,,,,OK
ME000228221,,0.0,,,,,OK
ME000228222,,0.0,,,,,OK
ME000228223,,0.0,,,,,OK
ME000228224,,0.0,,,,,OK
