feature,gain
ohe__CodArticulo_00000004812,0.0
ohe__CodArticulo_00000004811,0.0
ohe__CodArticulo_00000004810,0.0
ohe__CodArticulo_00000004756,0.0
ohe__CodArticulo_00000004659,0.0
ohe__CodArticulo_00000004602,0.0
ohe__CodArticulo_00000004590,0.0
ohe__CodArticulo_00000004589,0.0
ohe__CodArticulo_00000005721,0.0
ohe__CodArticulo_00000005707,0.0
ohe__CodArticulo_00000005695,0.0
ohe__CodArticulo_00000005694,0.0
ohe__CodArticulo_00000005693,0.0
ohe__CodArticulo_00000005691,0.0
ohe__CodArticulo_00000005660,0.0
ohe__CodArticulo_00000005659,0.0
ohe__CodArticulo_00000005641,0.0
ohe__CodArticulo_00000005501,0.0
ohe__CodArticulo_00000005499,0.0
ohe__CodArticulo_00000005456,0.0
ohe__CodArticulo_00000005429,0.0
ohe__CodArticulo_00000005137,0.0
ohe__CodArticulo_00000005029,0.0
ohe__CodArticulo_00000005933,0.0
ohe__CodArticulo_00000005932,0.0
ohe__CodArticulo_00000005904,0.0
ohe__CodArticulo_00000005866,0.0
ohe__CodArticulo_00000005865,0.0
ohe__CodArticulo_00000005864,0.0
ohe__CodArticulo_00000005858,0.0
ohe__CodArticulo_00000005856,0.0
ohe__CodArticulo_00000005845,0.0
ohe__CodArticulo_00000005832,0.0
ohe__CodArticulo_00000005822,0.0
ohe__CodArticulo_00000005820,0.0
ohe__CodArticulo_00000005774,0.0
ohe__CodArticulo_00000005768,0.0
ohe__CodArticulo_00000005748,0.0
ohe__CodArticulo_00000005968,0.0
ohe__CodArticulo_00000005967,0.0
ohe__CodArticulo_00000005966,0.0
ohe__CodArticulo_00000005965,0.0
ohe__CodArticulo_00000005964,0.0
ohe__CodArticulo_00000005963,0.0
ohe__CodArticulo_00000005962,0.0
ohe__CodArticulo_00000005959,0.0
ohe__CodArticulo_00000005958,0.0
ohe__CodArticulo_00000005957,0.0
ohe__CodArticulo_00000005956,0.0
ohe__CodArticulo_00000005955,0.0
ohe__CodArticulo_00000005954,0.0
ohe__CodArticulo_00000005953,0.0
ohe__CodArticulo_00000005952,0.0
ohe__CodArticulo_00000005940,0.0
ohe__CodArticulo_00000006014,0.0
ohe__CodArticulo_00000006013,0.0
ohe__CodArticulo_00000006010,0.0
ohe__CodArticulo_00000006009,0.0
ohe__CodArticulo_00000006008,0.0
ohe__CodArticulo_00000005981,0.0
ohe__CodArticulo_00000005980,0.0
ohe__CodArticulo_00000005979,0.0
ohe__CodArticulo_00000005978,0.0
ohe__CodArticulo_00000005977,0.0
ohe__CodArticulo_00000005976,0.0
ohe__CodArticulo_00000005975,0.0
ohe__CodArticulo_00000005974,0.0
